Entity,Code,Year,Cantril_ladder_score,"GDP_per_capita, PPP (constant 2017 international $)",Population,Continent
Abkhazia,OWID_ABK,2015,,,,Asia
Afghanistan,AFG,2015,2.6617181,2068.265869,33753500,Asia
Africa,,2015,,,1201108186,
Africa (UN),,2015,,,1201107968,
Akrotiri and Dhekelia,OWID_AKD,2015,,,,Asia
Albania,ALB,2015,4.6395483,11878.4541,2882482,Europe
Algeria,DZA,2015,5.2489123,11696.9502,39543148,Africa
American Samoa,ASM,2015,,,51391,Oceania
Andorra,AND,2015,,,71766,Europe
Angola,AGO,2015,,8036.411133,28127724,Africa
Anguilla,AIA,2015,,,14554,North America
Antarctica,ATA,2015,,,,Antarctica
Antigua and Barbuda,ATG,2015,,18594.54492,89958,North America
Argentina,ARG,2015,6.03933,23933.88672,43257064,South America
Armenia,ARM,2015,4.2877364,11321.33301,2878598,Asia
Aruba,ABW,2015,,37715.92578,104269,North America
Asia,,2015,,,4458250376,
Asia (UN),,2015,,,4459437568,
Australia,AUS,2015,7.2570376,47569.29297,23820240,Oceania
Austria,AUT,2015,7.293728,52873.85938,8642422,Europe
Austria-Hungary,OWID_AUH,2015,,,,Europe
Azerbaijan,AZE,2015,5.1522794,14852.61133,9863485,Asia
Baden,OWID_BAD,2015,,,,Europe
Bahamas,BHS,2015,,36023.59375,392707,North America
Bahrain,BHR,2015,6.2273207,48110.73438,1362157,Asia
Bangladesh,BGD,2015,4.309771,3700.11084,157830000,Asia
Barbados,BRB,2015,,15382.76563,278095,North America
Bavaria,OWID_BAV,2015,,,,Europe
Belarus,BLR,2015,5.552915,18362.74609,9700609,Europe
Belgium,BEL,2015,6.9283476,49456.39844,11248306,Europe
Belize,BLZ,2015,,7358.618652,359884,North America
Benin,BEN,2015,4.853181,2945.970215,10932791,Africa
Bermuda,BMU,2015,,77842.75,63165,North America
Bhutan,BTN,2015,,10086.07324,743284,Asia
Bolivia,BOL,2015,5.6505527,7984.412109,11090090,South America
Bonaire Sint Eustatius and Saba,BES,2015,,,23193,North America
Bosnia and Herzegovina,BIH,2015,5.0899024,12630.66699,3524328,Europe
Botswana,BWA,2015,3.5048811,14895.90527,2305177,Africa
Bouvet Island,BVT,2015,,,,Antarctica
Brazil,BRA,2015,6.332929,15064.17578,205188208,South America
British Indian Ocean Territory,IOT,2015,,,,Asia
British Virgin Islands,VGB,2015,,,29394,North America
Brunei,BRN,2015,,63147.48438,421449,Asia
Bulgaria,BGR,2015,5.096902,19988.22461,7309255,Europe
Burkina Faso,BFA,2015,4.646891,1925.332031,18718022,Africa
Burundi,BDI,2015,,825.2056885,10727153,Africa
Cambodia,KHM,2015,4.585842,3541.376709,15417527,Asia
Cameroon,CMR,2015,5.0740514,3570.424561,23012650,Africa
Canada,CAN,2015,7.4148684,47522.14063,35732120,North America
Cape Verde,CPV,2015,,6266.881836,552169,Africa
Cayman Islands,CYM,2015,,67241.28125,60935,North America
Central African Republic,CAF,2015,3.475862,852.7492065,4819341,Africa
Chad,TCD,2015,4.558937,1857.10791,14140277,Africa
Channel Islands,OWID_CIS,2015,,,,Europe
Chile,CHL,2015,6.3201194,24440.41602,17870122,South America
China,CHN,2015,5.0990615,12612.35156,1393715456,Asia
Christmas Island,CXR,2015,,,,Asia
Cocos Islands,CCK,2015,,,,Asia
Colombia,COL,2015,6.157342,14095.74805,47119728,South America
Comoros,COM,2015,,2959.498047,730221,Africa
Congo,COG,2015,4.8839912,5224.302246,5064390,Africa
Cook Islands,COK,2015,,,17720,Oceania
Costa Rica,CRI,2015,7.2251816,19141.68359,4895241,North America
Cote d'Ivoire,CIV,2015,5.037735,4417.150391,23596738,Africa
Croatia,HRV,2015,5.343166,24884.66602,4254821,Europe
Cuba,CUB,2015,,,11339888,North America
Curacao,CUW,2015,,26548.69922,169588,North America
Cyprus,CYP,2015,6.0620513,34453.11719,1187286,Europe
Czechia,CZE,2015,6.789568,36168.41797,10523801,Europe
Czechoslovakia,OWID_CZS,2015,,,,Europe
Democratic Republic of Congo,COD,2015,4.3110332,1065.242432,78656904,Africa
Denmark,DNK,2015,7.5937023,52892.64453,5677795,Europe
Djibouti,DJI,2015,,4488.802734,1006266,Africa
Dominica,DMA,2015,,11873.74219,70027,North America
Dominican Republic,DOM,2015,5.6052027,15328.35938,10405832,North America
East Asia and Pacific,,2015,,14927.71191,,
East Germany,OWID_GDR,2015,,,,Europe
Ecuador,ECU,2015,5.8395185,11896.375,16195904,South America
Egypt,EGY,2015,3.9293442,10570.44531,97723792,Africa
El Salvador,SLV,2015,6.3393183,8143.326172,6231072,North America
Equatorial Guinea,GNQ,2015,,28313.43359,1346974,Africa
Eritrea,ERI,2015,,,3340005,Africa
Eritrea and Ethiopia,OWID_ERE,2015,,,,Africa
Estonia,EST,2015,5.938396,31038.80469,1314658,Europe
Eswatini,SWZ,2015,,8307.782227,1133941,Africa
Ethiopia,ETH,2015,4.1803155,1779.084106,102471896,Africa
Europe,,2015,,,743296857,
Europe (UN),,2015,,,742107456,
Europe and Central Asia,,2015,,32724.41016,,
European Union,,2015,,40752.17578,,
European Union (27),,2015,,,442703856,
Faeroe Islands,FRO,2015,,,48848,Europe
Falkland Islands,FLK,2015,,,3431,South America
Fiji,FJI,2015,,12569.06445,917209,Oceania
Finland,FIN,2015,7.788252,45072.58984,5479457,Europe
France,FRA,2015,6.6352224,43345.78516,63809768,Europe
French Guiana,GUF,2015,,,257033,South America
French Polynesia,PYF,2015,,,291796,Oceania
French Southern Territories,ATF,2015,,,,Antarctica
Gabon,GAB,2015,4.782383,15510.03906,2028524,Africa
Gambia,GMB,2015,4.117939,2058.658203,2253137,Africa
Georgia,GEO,2015,4.4507747,12605.13965,3771135,Asia
Germany,DEU,2015,7.0743246,51159.29688,82073232,Europe
Ghana,GHA,2015,5.481311,4785.994629,28870946,Africa
Gibraltar,GIB,2015,,,32546,Europe
Greece,GRC,2015,5.1482415,28260.38672,10806644,Europe
Greenland,GRL,2015,,,55916,North America
Grenada,GRD,2015,,15142.0625,118994,North America
Guadeloupe,GLP,2015,,,399094,North America
Guam,GUM,2015,,,167996,Oceania
Guatemala,GTM,2015,6.3251185,8125.655762,16001105,North America
Guernsey,GGY,2015,,,61657,Europe
Guinea,GIN,2015,4.8737226,2087.935059,11626003,Africa
Guinea-Bissau,GNB,2015,,1800.063354,1788931,Africa
Guyana,GUY,2015,,11261.7793,755043,South America
Haiti,HTI,2015,3.8238657,3102.344971,10563762,North America
Hanover,OWID_HAN,2015,,,,Europe
Heard Island and McDonald Islands,HMD,2015,,,,Antarctica
Hesse Electoral,OWID_HSE,2015,,,,Europe
Hesse Grand Ducal,OWID_HSG,2015,,,,Europe
High income,,2015,,47400.47266,,
High-income countries,,2015,,,1189869736,
Honduras,HND,2015,6.0199857,5283.416992,9294510,North America
Hong Kong,HKG,2015,5.362475,57215.94922,7399845,Asia
Hungary,HUN,2015,6.0650387,27531.64453,9844250,Europe
Iceland,ISL,2015,7.476214,52142.93359,331068,Europe
India,IND,2015,4.046111,5464.394043,1322866560,Asia
Indonesia,IDN,2015,5.0984015,10149.60352,259091968,Asia
Iran,IRN,2015,4.716783,12698.10938,81790848,Asia
Iraq,IRQ,2015,4.462399,9946.976563,37757812,Asia
Ireland,IRL,2015,7.0601554,71508.73438,4665764,Europe
Isle of Man,IMN,2015,,,83614,Europe
Israel,ISR,2015,7.331036,37306.13281,8007777,Asia
Italy,ITA,2015,6.19887,40247.82813,60232908,Europe
Jamaica,JAM,2015,5.889759,9473.106445,2794455,North America
Japan,JPN,2015,5.9106765,40402.58203,127250936,Asia
Jersey,JEY,2015,,,100572,Europe
Jordan,JOR,2015,4.8080826,10145.83691,9494250,Asia
Kazakhstan,KAZ,2015,5.8823514,24290.41797,17835908,Asia
Kenya,KEN,2015,4.475654,4075.501953,46851496,Africa
